,PXindex,daily_change
,Index PX,PX % change
25.05.1998,467,-0.13
26.05.1998,466,-0.22
27.05.1998,455.4,-2.28
28.05.1998,455.9,0.11
29.05.1998,454,-0.42
01.06.1998,448.7,-1.17
02.06.1998,446.2,-0.56
03.06.1998,448.3,0.47
04.06.1998,450.6,0.51
05.06.1998,447.3,-0.73
08.06.1998,443.4,-0.87
09.06.1998,444.4,0.23
10.06.1998,441.4,-0.68
11.06.1998,439.1,-0.52
12.06.1998,438.5,-0.14
15.06.1998,432.6,-1.35
16.06.1998,432.3,-0.07
17.06.1998,434.9,0.6
18.06.1998,436.1,0.28
19.06.1998,434.6,-0.34
22.06.1998,441.5,1.59
23.06.1998,455,3.06
24.06.1998,461.9,1.52
25.06.1998,466.1,0.91
26.06.1998,465.8,-0.07
29.06.1998,464.3,-0.32
30.06.1998,467,0.58
01.07.1998,470,0.64
02.07.1998,479.2,1.96
03.07.1998,487.6,1.75
07.07.1998,481.2,-1.31
08.07.1998,475.6,-1.16
09.07.1998,470.5,-1.07
10.07.1998,462.5,-1.7
13.07.1998,469.7,1.56
14.07.1998,482.8,2.79
15.07.1998,485.8,0.62
16.07.1998,484.3,-0.31
17.07.1998,489.4,1.05
20.07.1998,494.4,1.02
21.07.1998,503,1.74
22.07.1998,495.3,-1.53
23.07.1998,488.1,-1.45
24.07.1998,488.7,0.12
27.07.1998,479.1,-1.97
28.07.1998,481.4,0.48
29.07.1998,478.5,-0.6
30.07.1998,488.5,2.09
31.07.1998,491.3,0.57
03.08.1998,481,-2.1
04.08.1998,484.3,0.69
05.08.1998,471.7,-2.6
06.08.1998,469.1,-0.55
07.08.1998,468.5,-0.13
10.08.1998,464.1,-0.94
11.08.1998,447.5,-3.58
12.08.1998,456.3,1.97
13.08.1998,445.6,-2.35
14.08.1998,451.2,1.26
17.08.1998,450,-0.27
18.08.1998,453.4,0.76
19.08.1998,459.8,1.41
20.08.1998,451.8,-1.74
21.08.1998,441.1,-2.37
24.08.1998,436.3,-1.09
25.08.1998,437.4,0.25
26.08.1998,425.9,-2.63
27.08.1998,396.8,-6.83
28.08.1998,383.3,-3.4
31.08.1998,377.4,-1.54
01.09.1998,374.7,-0.72
02.09.1998,383.3,2.3
03.09.1998,370.7,-3.29
04.09.1998,380.6,2.67
07.09.1998,385.3,1.23
08.09.1998,404,4.85
09.09.1998,395.9,-2.01
10.09.1998,379.2,-4.22
11.09.1998,375.9,-0.87
14.09.1998,385.3,2.5
15.09.1998,376.8,-2.21
16.09.1998,380.5,0.98
17.09.1998,368.1,-3.26
18.09.1998,369.7,0.43
21.09.1998,357.5,-3.3
22.09.1998,361.3,1.06
23.09.1998,368.6,2.02
24.09.1998,374,1.47
25.09.1998,365.4,-2.3
28.09.1998,374.2,2.41
29.09.1998,370,-1.12
30.09.1998,359.8,-2.76
01.10.1998,350.9,-2.47
02.10.1998,338.1,-3.65
05.10.1998,323.9,-4.2
06.10.1998,318.4,-1.7
07.10.1998,320.3,0.6
08.10.1998,316,-1.34
09.10.1998,323.4,2.34
12.10.1998,337.3,4.3
13.10.1998,340.1,0.83
14.10.1998,349.5,2.76
15.10.1998,356,1.86
16.10.1998,363.1,1.99
19.10.1998,357.7,-1.49
20.10.1998,368.6,3.05
21.10.1998,369.3,0.19
22.10.1998,366.6,-0.73
23.10.1998,370.1,0.95
26.10.1998,379.7,2.59
27.10.1998,385,1.4
29.10.1998,388.7,0.96
30.10.1998,388.3,-0.1
02.11.1998,399,2.76
03.11.1998,396.5,-0.63
04.11.1998,399.4,0.73
05.11.1998,388,-2.86
06.11.1998,387.1,-0.23
09.11.1998,385.4,-0.44
10.11.1998,377.1,-2.15
11.11.1998,383.7,1.75
12.11.1998,385.7,0.52
13.11.1998,387.4,0.44
16.11.1998,391.4,1.03
17.11.1998,390,-0.36
18.11.1998,391.2,0.31
19.11.1998,394.2,0.77
20.11.1998,398.9,1.19
23.11.1998,404.5,1.4
24.11.1998,396.8,-1.9
25.11.1998,392.3,-1.14
26.11.1998,393.9,0.41
27.11.1998,391.8,-0.53
30.11.1998,389.5,-0.59
01.12.1998,381.4,-2.08
02.12.1998,378.5,-0.76
03.12.1998,377.1,-0.37
04.12.1998,375.3,-0.48
07.12.1998,380.2,1.31
08.12.1998,379.2,-0.26
09.12.1998,379,-0.05
10.12.1998,385.9,1.82
11.12.1998,382.7,-0.83
14.12.1998,382.1,-0.16
15.12.1998,379.5,-0.68
16.12.1998,385.2,1.5
17.12.1998,386.9,0.44
18.12.1998,388.3,0.36
21.12.1998,388.9,0.15
22.12.1998,385.2,-0.95
23.12.1998,385.9,0.18
28.12.1998,388.3,0.62
29.12.1998,392.4,1.06
30.12.1998,394.2,0.46
04.01.1999,395.3,0.28
05.01.1999,399.8,1.14
06.01.1999,413.6,3.45
07.01.1999,409.5,-0.99
08.01.1999,413.2,0.9
11.01.1999,407.9,-1.28
12.01.1999,407.6,-0.07
13.01.1999,386.1,-5.28
14.01.1999,391.1,1.3
15.01.1999,383,-2.07
18.01.1999,390.8,2.04
19.01.1999,392.6,0.46
20.01.1999,397.9,1.35
21.01.1999,397.6,-0.08
22.01.1999,393.8,-0.96
25.01.1999,395.2,0.36
26.01.1999,394,-0.3
27.01.1999,395.3,0.33
28.01.1999,394.1,-0.3
29.01.1999,394.7,0.15
01.02.1999,392.2,-0.63
02.02.1999,387.7,-1.15
03.02.1999,385.8,-0.49
04.02.1999,389.3,0.91
05.02.1999,384.6,-1.21
08.02.1999,381.2,-0.89
09.02.1999,372.8,-2.2
10.02.1999,370.3,-0.67
11.02.1999,373.1,0.76
12.02.1999,375.8,0.72
15.02.1999,376.1,0.08
16.02.1999,377.4,0.35
17.02.1999,373.9,-0.93
18.02.1999,365.2,-2.33
19.02.1999,362.7,-0.69
22.02.1999,359.9,-0.77
23.02.1999,347.1,-3.56
24.02.1999,343.6,-1.01
25.02.1999,347.3,1.08
26.02.1999,341.2,-1.76
01.03.1999,333.4,-2.29
02.03.1999,338.9,1.65
03.03.1999,346.8,2.33
04.03.1999,347.8,0.29
05.03.1999,350.9,0.89
08.03.1999,349.4,-0.43
09.03.1999,354.2,1.37
10.03.1999,361.1,1.95
11.03.1999,372.7,3.21
12.03.1999,371.6,-0.3
15.03.1999,368.7,-0.78
16.03.1999,376.7,2.17
17.03.1999,375.7,-0.27
18.03.1999,373.1,-0.69
19.03.1999,379.5,1.72
22.03.1999,379.7,0.05
23.03.1999,373.2,-1.71
24.03.1999,366.7,-1.74
25.03.1999,373.7,1.91
26.03.1999,372.5,-0.32
29.03.1999,372.8,0.08
30.03.1999,381.6,2.36
31.03.1999,388.1,1.7
01.04.1999,392.7,1.19
02.04.1999,398.5,1.48
06.04.1999,400.4,0.48
07.04.1999,402.6,0.55
08.04.1999,406.6,0.99
09.04.1999,402.7,-0.96
12.04.1999,395.9,-1.69
13.04.1999,397.6,0.43
14.04.1999,406.1,2.14
15.04.1999,400.7,-1.33
16.04.1999,396.6,-1.02
19.04.1999,400.9,1.08
20.04.1999,399.1,-0.45
21.04.1999,401.1,0.5
22.04.1999,403,0.47
23.04.1999,405.2,0.55
26.04.1999,409,0.94
27.04.1999,411.6,0.64
28.04.1999,410.7,-0.22
29.04.1999,410.1,-0.15
30.04.1999,412.8,0.66
03.05.1999,417.4,1.11
04.05.1999,421.6,1.01
05.05.1999,423.1,0.36
06.05.1999,429.4,1.49
07.05.1999,429.6,0.05
10.05.1999,437.2,1.77
11.05.1999,463.4,5.99
12.05.1999,448,-3.32
13.05.1999,459.7,2.61
14.05.1999,461,0.28
17.05.1999,456.9,-0.89
18.05.1999,463.1,1.36
19.05.1999,485.7,4.88
20.05.1999,492.1,1.32
21.05.1999,503,2.21
24.05.1999,517.4,2.86
25.05.1999,521.5,0.79
26.05.1999,508.2,-2.55
27.05.1999,489.1,-3.76
28.05.1999,494.3,1.06
31.05.1999,506.7,2.51
01.06.1999,507.8,0.22
02.06.1999,498.2,-1.89
03.06.1999,500.3,0.42
04.06.1999,496.9,-0.68
07.06.1999,491.5,-1.09
08.06.1999,487.2,-0.88
09.06.1999,487.9,0.14
10.06.1999,476.7,-2.3
11.06.1999,483.5,1.43
14.06.1999,491,1.55
15.06.1999,499.5,1.73
16.06.1999,499.3,-0.04
17.06.1999,497,-0.46
18.06.1999,490.5,-1.31
21.06.1999,498,1.53
22.06.1999,495.1,-0.58
23.06.1999,491.4,-0.75
24.06.1999,494.5,0.63
25.06.1999,490.3,-0.85
28.06.1999,488.8,-0.31
29.06.1999,482.8,-1.23
30.06.1999,483.8,0.21
01.07.1999,483.7,-0.02
02.07.1999,476.6,-1.47
07.07.1999,481.1,0.94
08.07.1999,481.3,0.04
09.07.1999,481.6,0.06
12.07.1999,480.3,-0.27
13.07.1999,471.1,-1.92
14.07.1999,477.6,1.38
15.07.1999,483.1,1.15
16.07.1999,484.2,0.23
19.07.1999,492.1,1.63
20.07.1999,499.5,1.5
21.07.1999,496.9,-0.52
22.07.1999,506.9,2.01
23.07.1999,511.1,0.83
26.07.1999,502.8,-1.62
27.07.1999,503.3,0.1
28.07.1999,508,0.93
29.07.1999,501.9,-1.2
30.07.1999,509,1.41
02.08.1999,508.5,-0.1
03.08.1999,521.8,2.62
04.08.1999,526.4,0.88
05.08.1999,519.4,-1.33
06.08.1999,519.1,-0.06
09.08.1999,520.2,0.21
10.08.1999,509.8,-2
11.08.1999,512.6,0.55
12.08.1999,514.4,0.35
13.08.1999,514.2,-0.04
16.08.1999,511.7,-0.49
17.08.1999,511.7,0
18.08.1999,513.7,0.39
19.08.1999,516,0.45
20.08.1999,516.6,0.12
23.08.1999,517.4,0.15
24.08.1999,518.5,0.21
25.08.1999,522.3,0.73
26.08.1999,518.7,-0.69
27.08.1999,516.4,-0.44
30.08.1999,514.6,-0.35
31.08.1999,508,-1.28
01.09.1999,502.6,-1.06
02.09.1999,499.6,-0.6
03.09.1999,507.2,1.52
06.09.1999,513.5,1.24
07.09.1999,511.1,-0.47
08.09.1999,509.2,-0.37
09.09.1999,506.5,-0.53
10.09.1999,505.1,-0.28
13.09.1999,504.8,-0.06
14.09.1999,509.3,0.89
15.09.1999,511.5,0.43
16.09.1999,509.8,-0.33
17.09.1999,511.1,0.26
20.09.1999,514.2,0.61
21.09.1999,509.7,-0.88
22.09.1999,506.3,-0.67
23.09.1999,508.7,0.47
24.09.1999,500,-1.71
27.09.1999,508.6,1.72
28.09.1999,507.3,-0.26
29.09.1999,501,-1.24
30.09.1999,502.5,0.3
01.10.1999,492.1,-2.07
04.10.1999,493.3,0.24
05.10.1999,497.4,0.83
06.10.1999,504.9,1.51
07.10.1999,501,-0.77
08.10.1999,500.4,-0.12
11.10.1999,499.4,-0.2
12.10.1999,494.6,-0.96
13.10.1999,485.4,-1.86
14.10.1999,488.3,0.6
15.10.1999,479.3,-1.84
18.10.1999,479.5,0.04
19.10.1999,488.5,1.88
20.10.1999,486.7,-0.37
21.10.1999,485.7,-0.21
22.10.1999,493.1,1.52
25.10.1999,490.6,-0.51
26.10.1999,493,0.49
27.10.1999,494,0.2
29.10.1999,498.2,0.85
01.11.1999,489.3,-1.79
02.11.1999,484.2,-1.04
03.11.1999,487.7,0.72
04.11.1999,485.9,-0.37
05.11.1999,484.5,-0.29
08.11.1999,483.2,-0.27
09.11.1999,483.4,0.04
10.11.1999,485.4,0.41
11.11.1999,485.2,-0.04
12.11.1999,483.2,-0.41
15.11.1999,483.1,-0.02
16.11.1999,485.5,0.5
17.11.1999,484.2,-0.27
18.11.1999,481.9,-0.48
19.11.1999,479.9,-0.42
22.11.1999,476.4,-0.73
23.11.1999,472.7,-0.78
24.11.1999,470.2,-0.53
25.11.1999,473.8,0.77
26.11.1999,476,0.46
29.11.1999,475.4,-0.13
30.11.1999,477.7,0.48
01.12.1999,474.3,-0.71
02.12.1999,475.3,0.21
03.12.1999,472.9,-0.51
06.12.1999,474.2,0.27
07.12.1999,476.1,0.4
08.12.1999,477.1,0.21
09.12.1999,477.8,0.15
10.12.1999,478.2,0.08
13.12.1999,472.1,-1.28
14.12.1999,474,0.4
15.12.1999,476.4,0.51
16.12.1999,472,-0.92
17.12.1999,465.8,-1.31
20.12.1999,462.5,-0.71
21.12.1999,456.7,-1.26
22.12.1999,460.9,0.92
23.12.1999,473.3,2.69
27.12.1999,480.1,1.44
28.12.1999,486,1.23
29.12.1999,484.6,-0.29
30.12.1999,489.7,1.05
05.01.2000,484.5,-1.06
06.01.2000,494.9,2.15
07.01.2000,499.4,0.91
10.01.2000,506.8,1.48
11.01.2000,506.4,-0.08
12.01.2000,502.3,-0.81
13.01.2000,505.2,0.58
14.01.2000,516.5,2.24
17.01.2000,522.7,1.2
18.01.2000,521.6,-0.21
19.01.2000,527.1,1.05
20.01.2000,540.4,2.52
21.01.2000,548.9,1.57
24.01.2000,546.2,-0.49
25.01.2000,536.5,-1.78
26.01.2000,542.9,1.19
27.01.2000,550.7,1.44
28.01.2000,552.7,0.36
31.01.2000,554.3,0.29
01.02.2000,568.7,2.6
02.02.2000,577,1.46
03.02.2000,580.2,0.55
04.02.2000,579.5,-0.12
07.02.2000,586.3,1.17
08.02.2000,594.6,1.42
09.02.2000,594,-0.1
10.02.2000,605.1,1.87
11.02.2000,626.9,3.6
14.02.2000,624.2,-0.43
15.02.2000,624,-0.03
16.02.2000,628.9,0.79
17.02.2000,642.1,2.1
18.02.2000,634.6,-1.17
21.02.2000,626.1,-1.34
22.02.2000,631.7,0.89
23.02.2000,637.9,0.98
24.02.2000,650.3,1.94
25.02.2000,639.4,-1.68
28.02.2000,634,-0.85
29.02.2000,644.8,1.7
01.03.2000,644.3,-0.08
02.03.2000,637.2,-1.1
03.03.2000,662.6,3.99
06.03.2000,659.9,-0.41
07.03.2000,661.3,0.21
08.03.2000,656.7,-0.7
09.03.2000,649.8,-1.05
10.03.2000,666.6,2.59
13.03.2000,660.2,-0.96
14.03.2000,673.5,2.01
15.03.2000,664.8,-1.29
16.03.2000,671,0.93
17.03.2000,666.6,-0.66
20.03.2000,660.3,-0.95
21.03.2000,656.9,-0.52
22.03.2000,670.9,2.13
23.03.2000,674.7,0.57
24.03.2000,691,2.42
27.03.2000,679.7,-1.64
28.03.2000,673.7,-0.88
29.03.2000,658.9,-2.2
30.03.2000,639.5,-2.95
31.03.2000,644.2,0.73
03.04.2000,632.3,-1.85
04.04.2000,620.9,-1.8
05.04.2000,614,-1.11
06.04.2000,636.3,3.63
07.04.2000,642.2,0.93
10.04.2000,655.5,2.07
11.04.2000,638.9,-2.53
12.04.2000,634.1,-0.75
13.04.2000,628.5,-0.88
14.04.2000,614.8,-2.18
17.04.2000,586,-4.69
18.04.2000,580.9,-0.87
19.04.2000,577.2,-0.64
20.04.2000,582.4,0.9
21.04.2000,575.5,-1.19
25.04.2000,589.6,2.45
26.04.2000,592,0.41
27.04.2000,585.9,-1.03
28.04.2000,604,3.09
02.05.2000,621.1,2.83
03.05.2000,604.6,-2.66
04.05.2000,602.4,-0.36
05.05.2000,599,-0.57
09.05.2000,591.1,-1.32
10.05.2000,578,-2.22
11.05.2000,592.9,2.58
12.05.2000,594.6,0.29
15.05.2000,593.8,-0.14
16.05.2000,593,-0.14
17.05.2000,583.9,-1.54
18.05.2000,591.9,1.37
19.05.2000,579.1,-2.16
22.05.2000,579.1,0
23.05.2000,577.6,-0.26
24.05.2000,562.8,-2.56
25.05.2000,572.5,1.72
26.05.2000,573.2,0.12
29.05.2000,576.9,0.65
30.05.2000,581.2,0.75
31.05.2000,579.4,-0.31
01.06.2000,583.3,0.67
02.06.2000,588.2,0.84
05.06.2000,582.1,-1.04
06.06.2000,573,-1.56
07.06.2000,564.2,-1.54
08.06.2000,566.5,0.41
09.06.2000,567.9,0.25
12.06.2000,562.6,-0.93
13.06.2000,550.7,-2.12
14.06.2000,543.8,-1.25
15.06.2000,536.2,-1.4
16.06.2000,543,1.27
19.06.2000,538.5,-0.83
20.06.2000,533.2,-0.99
21.06.2000,520.7,-2.35
22.06.2000,523.5,0.54
23.06.2000,527.6,0.78
26.06.2000,533.3,1.08
27.06.2000,540.8,1.41
28.06.2000,533,-1.44
29.06.2000,526.1,-1.3
30.06.2000,524.8,-0.25
03.07.2000,527.5,0.51
04.07.2000,517.9,-1.82
07.07.2000,506.9,-2.12
10.07.2000,509.7,0.55
11.07.2000,512.3,0.51
12.07.2000,522.4,1.97
13.07.2000,531,1.65
14.07.2000,544.5,2.54
17.07.2000,556,2.11
18.07.2000,563.7,1.38
19.07.2000,569.2,0.98
20.07.2000,565.7,-0.62
21.07.2000,563.9,-0.32
24.07.2000,559.2,-0.83
25.07.2000,559.3,0.02
26.07.2000,565.7,1.14
27.07.2000,566.3,0.11
28.07.2000,572.6,1.11
31.07.2000,570.5,-0.37
01.08.2000,568.2,-0.4
02.08.2000,551.5,-2.94
03.08.2000,548.5,-0.54
04.08.2000,553.9,0.98
07.08.2000,552,-0.34
08.08.2000,557,0.91
09.08.2000,571.3,2.57
10.08.2000,570.3,-0.18
11.08.2000,566.8,-0.61
14.08.2000,568.1,0.23
15.08.2000,563.6,-0.79
16.08.2000,563.9,0.05
17.08.2000,557.7,-1.1
18.08.2000,555.2,-0.45
21.08.2000,547.5,-1.39
22.08.2000,538.6,-1.63
23.08.2000,535.9,-0.5
24.08.2000,541.9,1.12
25.08.2000,542,0.02
28.08.2000,539.4,-0.48
29.08.2000,539,-0.08
30.08.2000,527.4,-2.15
31.08.2000,538.6,2.12
01.09.2000,548.1,1.76
04.09.2000,555.3,1.31
05.09.2000,548.1,-1.3
06.09.2000,548.8,0.13
07.09.2000,545.7,-0.57
08.09.2000,539.1,-1.21
11.09.2000,536.4,-0.5
12.09.2000,540.8,0.82
13.09.2000,538.3,-0.46
14.09.2000,549,1.99
15.09.2000,547.6,-0.26
18.09.2000,544,-0.66
19.09.2000,536.2,-1.43
20.09.2000,533.1,-0.58
21.09.2000,523.6,-1.78
22.09.2000,513.5,-1.93
25.09.2000,517.2,0.72
26.09.2000,507.8,-1.82
27.09.2000,507.9,0.02
29.09.2000,501.6,-1.24
02.10.2000,502.3,0.14
03.10.2000,502.4,0.02
04.10.2000,497.4,-1
05.10.2000,501.1,0.74
06.10.2000,504.2,0.62
09.10.2000,498.8,-1.07
10.10.2000,499.6,0.16
11.10.2000,498.4,-0.24
12.10.2000,505.2,1.36
13.10.2000,497.5,-1.53
16.10.2000,502.9,1.09
17.10.2000,505.4,0.5
18.10.2000,494.4,-2.18
19.10.2000,503.3,1.8
20.10.2000,507.1,0.76
23.10.2000,510.8,0.73
24.10.2000,518.1,1.43
25.10.2000,508.4,-1.87
26.10.2000,508,-0.08
27.10.2000,511.1,0.61
30.10.2000,509.6,-0.29
31.10.2000,508.1,-0.3
01.11.2000,505.6,-0.49
02.11.2000,501.6,-0.79
03.11.2000,493.8,-1.56
06.11.2000,486.5,-1.48
07.11.2000,485.5,-0.21
08.11.2000,482.9,-0.54
09.11.2000,479.7,-0.66
10.11.2000,477.5,-0.46
13.11.2000,463.8,-2.87
14.11.2000,476.4,2.72
15.11.2000,474.3,-0.44
16.11.2000,467.4,-1.46
20.11.2000,464.4,-0.64
21.11.2000,464.3,-0.02
22.11.2000,459,-1.14
23.11.2000,444.4,-3.18
24.11.2000,445.2,0.18
27.11.2000,454.5,2.09
28.11.2000,441.5,-2.86
29.11.2000,426.7,-3.35
30.11.2000,409.9,-3.94
01.12.2000,420.4,2.56
04.12.2000,419.5,-0.22
05.12.2000,437.4,4.27
06.12.2000,450.8,3.06
07.12.2000,439.8,-2.44
08.12.2000,447.8,1.82
11.12.2000,449,0.27
12.12.2000,463.4,3.21
13.12.2000,462.1,-0.28
14.12.2000,475.8,2.96
15.12.2000,465,-2.27
18.12.2000,474.7,2.09
19.12.2000,474.4,-0.06
20.12.2000,457.2,-3.63
21.12.2000,446.9,-2.25
22.12.2000,461.4,3.24
27.12.2000,472.5,2.41
28.12.2000,475.1,0.55
29.12.2000,478.5,0.72
02.01.2001,474.7,-0.8
03.01.2001,462.5,-2.57
04.01.2001,481.3,4.06
05.01.2001,488.3,1.45
08.01.2001,488.6,0.06
09.01.2001,495.7,1.45
10.01.2001,488.4,-1.47
11.01.2001,483.3,-1.05
12.01.2001,491.4,1.68
15.01.2001,505.9,2.95
16.01.2001,501.1,-0.95
17.01.2001,510.8,1.94
18.01.2001,504.2,-1.29
19.01.2001,515.1,2.16
22.01.2001,505.7,-1.83
23.01.2001,505.4,-0.06
24.01.2001,508.4,0.59
25.01.2001,508.3,-0.02
26.01.2001,499.1,-1.81
29.01.2001,499.9,0.16
30.01.2001,497.4,-0.5
31.01.2001,501.8,0.88
01.02.2001,499.6,-0.44
02.02.2001,493.5,-1.22
05.02.2001,488.7,-0.97
06.02.2001,490.8,0.43
07.02.2001,486.1,-0.96
08.02.2001,493.3,1.48
09.02.2001,485.6,-1.56
12.02.2001,477.7,-1.63
13.02.2001,481,0.69
14.02.2001,465.7,-3.18
15.02.2001,471.2,1.18
16.02.2001,465.2,-1.27
19.02.2001,467.7,0.54
20.02.2001,462.1,-1.2
21.02.2001,451.3,-2.34
22.02.2001,451.1,-0.05
23.02.2001,443.6,-1.66
26.02.2001,448.2,1.04
27.02.2001,450,0.4
28.02.2001,454.2,0.93
01.03.2001,451,-0.71
02.03.2001,454.8,0.84
05.03.2001,462.9,1.78
06.03.2001,478.5,3.37
07.03.2001,471.9,-1.38
08.03.2001,465,-1.46
09.03.2001,458.7,-1.36
12.03.2001,448,-2.33
13.03.2001,452.3,0.96
14.03.2001,443.4,-1.97
15.03.2001,451.6,1.85
16.03.2001,446.4,-1.15
19.03.2001,450.3,0.87
20.03.2001,450.3,0
21.03.2001,444.6,-1.27
22.03.2001,437,-1.71
23.03.2001,437.9,0.21
26.03.2001,445.8,1.8
27.03.2001,442,-0.85
28.03.2001,444,0.45
29.03.2001,430.4,-3.06
30.03.2001,425.5,-1.14
02.04.2001,425.2,-0.07
03.04.2001,414.8,-2.45
04.04.2001,406.7,-1.95
05.04.2001,422.6,3.91
06.04.2001,418.5,-0.97
09.04.2001,418.4,-0.02
10.04.2001,421.6,0.76
11.04.2001,428.2,1.57
12.04.2001,427.4,-0.19
13.04.2001,436.5,2.13
17.04.2001,430.7,-1.33
18.04.2001,436.6,1.37
19.04.2001,438.6,0.46
20.04.2001,433.4,-1.19
23.04.2001,425.9,-1.73
24.04.2001,422.5,-0.8
25.04.2001,419.2,-0.78
26.04.2001,418.4,-0.19
27.04.2001,420,0.38
30.04.2001,415.2,-1.14
02.05.2001,414.9,-0.07
03.05.2001,409.1,-1.4
04.05.2001,405.8,-0.81
07.05.2001,410.8,1.23
09.05.2001,411.7,0.22
10.05.2001,418.7,1.7
11.05.2001,419.8,0.26
14.05.2001,416.6,-0.76
15.05.2001,415.9,-0.17
16.05.2001,413.3,-0.63
17.05.2001,417.3,0.97
18.05.2001,416.1,-0.29
21.05.2001,418.7,0.62
22.05.2001,427.7,2.15
23.05.2001,428.7,0.23
24.05.2001,433.5,1.12
25.05.2001,434.7,0.28
28.05.2001,436.8,0.48
29.05.2001,434.6,-0.5
30.05.2001,432.9,-0.39
31.05.2001,437.7,1.11
01.06.2001,434.7,-0.69
04.06.2001,435.2,0.12
05.06.2001,431.3,-0.9
06.06.2001,426.5,-1.11
07.06.2001,424.2,-0.54
08.06.2001,430.8,1.56
11.06.2001,439.5,2.02
12.06.2001,433.9,-1.28
13.06.2001,433.8,-0.02
14.06.2001,430.4,-0.78
15.06.2001,431,0.14
18.06.2001,427.9,-0.72
19.06.2001,433.7,1.36
20.06.2001,425.5,-1.89
21.06.2001,427.2,0.4
22.06.2001,429.3,0.49
25.06.2001,425,-1
26.06.2001,416.6,-1.98
27.06.2001,416.6,0
28.06.2001,405.2,-2.74
29.06.2001,417.7,3.08
02.07.2001,416.1,-0.38
03.07.2001,410.2,-1.42
04.07.2001,413,0.68
09.07.2001,406.7,-1.53
10.07.2001,404.4,-0.57
11.07.2001,397.2,-1.78
12.07.2001,397.6,0.1
13.07.2001,393.9,-0.93
16.07.2001,371.3,-5.74
17.07.2001,371.7,0.11
18.07.2001,382.3,2.85
19.07.2001,388.1,1.52
20.07.2001,381.3,-1.75
23.07.2001,391.1,2.57
24.07.2001,388.5,-0.67
25.07.2001,381.8,-1.73
26.07.2001,383.6,0.47
27.07.2001,383.1,-0.13
30.07.2001,385.7,0.68
31.07.2001,382.3,-0.88
01.08.2001,374.4,-2.07
02.08.2001,374.6,0.05
03.08.2001,371.5,-0.83
06.08.2001,369.3,-0.59
07.08.2001,365.6,-1
08.08.2001,358.4,-1.97
09.08.2001,363.8,1.51
10.08.2001,364.2,0.11
13.08.2001,372.8,2.36
14.08.2001,379.5,1.8
15.08.2001,375.6,-1.03
16.08.2001,367.6,-2.13
17.08.2001,365.9,-0.46
20.08.2001,365.9,0
21.08.2001,368.5,0.71
22.08.2001,368.4,-0.03
23.08.2001,366.7,-0.46
24.08.2001,373.5,1.85
27.08.2001,377.6,1.1
28.08.2001,374.5,-0.82
29.08.2001,370.6,-1.04
30.08.2001,367.9,-0.73
31.08.2001,364.1,-1.03
03.09.2001,360.6,-0.96
04.09.2001,352.4,-2.27
05.09.2001,354.4,0.57
06.09.2001,351.9,-0.71
07.09.2001,350,-0.54
10.09.2001,346.1,-1.12
11.09.2001,340,-1.76
12.09.2001,330.5,-2.8
13.09.2001,335.4,1.48
14.09.2001,322.9,-3.73
17.09.2001,320.1,-0.87
18.09.2001,321.2,0.34
19.09.2001,330.9,3.02
20.09.2001,327.8,-0.94
21.09.2001,325.2,-0.79
24.09.2001,328,0.86
25.09.2001,332.7,1.43
26.09.2001,337,1.29
27.09.2001,331.9,-1.51
01.10.2001,333.9,0.6
02.10.2001,339.6,1.71
03.10.2001,334.7,-1.44
04.10.2001,340.4,1.7
05.10.2001,340.3,-0.03
08.10.2001,343.1,0.82
09.10.2001,344.2,0.32
10.10.2001,350.6,1.86
11.10.2001,359.2,2.45
12.10.2001,354.6,-1.28
15.10.2001,351.3,-0.93
16.10.2001,352.6,0.37
17.10.2001,359.1,1.84
18.10.2001,359.4,0.08
19.10.2001,361.9,0.7
22.10.2001,363.6,0.47
23.10.2001,364.8,0.33
24.10.2001,368,0.88
25.10.2001,368.6,0.16
26.10.2001,376.6,2.17
29.10.2001,376.8,0.05
30.10.2001,372.5,-1.14
31.10.2001,375.3,0.75
01.11.2001,378.6,0.88
02.11.2001,381.4,0.74
05.11.2001,382.3,0.24
06.11.2001,384.5,0.58
07.11.2001,386.5,0.52
08.11.2001,391,1.16
09.11.2001,387.5,-0.9
12.11.2001,383.3,-1.08
13.11.2001,392.4,2.37
14.11.2001,399.7,1.86
15.11.2001,398,-0.43
16.11.2001,401.4,0.85
19.11.2001,409.1,1.92
20.11.2001,405.3,-0.93
21.11.2001,403,-0.57
22.11.2001,407.7,1.17
23.11.2001,408.5,0.2
26.11.2001,407.5,-0.25
27.11.2001,398.2,-2.28
28.11.2001,393.4,-1.21
29.11.2001,393.6,0.05
30.11.2001,392.5,-0.28
03.12.2001,395.1,0.66
04.12.2001,402.1,1.77
05.12.2001,401.3,-0.2
06.12.2001,401,-0.08
07.12.2001,396.4,-1.15
10.12.2001,393.3,-0.78
11.12.2001,392.9,-0.1
12.12.2001,394.7,0.46
13.12.2001,392.8,-0.48
14.12.2001,390.1,-0.69
17.12.2001,383.6,-1.67
18.12.2001,384.3,0.18
19.12.2001,396.1,3.07
20.12.2001,392.9,-0.81
21.12.2001,391.3,-0.41
27.12.2001,393.3,0.51
28.12.2001,394.6,0.33
02.01.2002,387.8,-1.72
03.01.2002,397.6,2.53
04.01.2002,398.5,0.23
07.01.2002,404.7,1.56
08.01.2002,401.4,-0.82
09.01.2002,405,0.9
10.01.2002,408.2,0.79
