Time,coal,firewood,heavy_fuel_oil,light_fuel_oil,milled_peat,natural_gas,oil_shale,peat_briquette,pellets,shale_oil,sod_peat,wood_chips,wood_waste_industrial
01-Jan-2007,0.000741287067008316,0.00391314549207831,0.00125882158614085,0.00759461821603938,0.014220219310424,0.215960082305069,0.723388840070287,0.000273285554657444,NaN,0.0265094816510172,0.00614021874727866,NaN,NaN
01-Feb-2007,0.000720373350049131,0.0037280454760133,0.00175014607403503,0.00332396446215441,0.0123550958892312,0.206570179837763,0.730970194614236,0.000118429042779161,NaN,0.0348064636572534,0.00565710759648522,NaN,NaN
01-Mar-2007,0.000681582543814336,0.00312110217810954,0.000854015724914195,0.00230556130762799,0.0125485297843437,0.181777268371133,0.767441023958615,0,NaN,0.0241797851746971,0.00709113095674468,NaN,NaN
01-Apr-2007,0.000501555877237436,0.000836859318096778,0.00324103702493393,0.00233263202176247,0.0130580896175734,0.163383211718271,0.795304089084967,0,NaN,0.0163999097119254,0.00494261562523254,NaN,NaN
01-May-2007,0.000224987654746683,0.000207776617563296,1.86070270754128e-05,0.00841105201568684,0.00899918218690829,0.101004682446329,0.87135860757851,0.000159964889484146,NaN,0.0063415525441227,0.00327358703957356,NaN,NaN
01-Jun-2007,0.000106090383929314,1.00614751210382e-05,8.16853177875101e-05,0.000530623033169037,0.00673584103351849,0.0728037559606406,0.911624081455393,0,NaN,0.00629124532376955,0.00181661601667188,NaN,NaN
01-Jul-2007,8.59270998180933e-05,9.05468363674531e-06,0.000340474583687821,0.00130467134824609,0.00532791328902328,0.0584385509130694,0.92568264653558,0,NaN,0.00701847700590809,0.00179228454103102,NaN,NaN
01-Aug-2007,7.57345586016904e-05,8.20864893231225e-06,0.000175376109204375,0.000707341581944751,0.00961876882729062,0.0546075484121518,0.923509737891086,0.000563821103322723,NaN,0.00791846691042573,0.00281499595703972,NaN,NaN
01-Sep-2007,0.000111466560951506,3.39793226126366e-05,0.000316196474312035,0.00276622955776069,0.00933123919170447,0.0635251526558149,0.913974954420466,0.000452190815380751,NaN,0.00713113102483624,0.00235745997616073,NaN,NaN
01-Oct-2007,0.000397985067750517,0.000424110573861494,0.000540975869432182,0.00232721667618689,0.0112374866263121,0.106551736777144,0.859410879595402,9.71502678763196e-05,NaN,0.0152443882561837,0.00376807028985093,NaN,NaN
01-Nov-2007,0.000299995665078418,0.000699351745736454,0.00113378007556306,0.00238524559994645,0.0121173016763153,0.140726499118185,0.819269543084868,4.73345193847433e-06,NaN,0.0181697102747291,0.00519383930764019,NaN,NaN
01-Dec-2007,0.000258672149939358,0.000606164342761119,0.001185426163835,0.00228179534892743,0.0102667141135877,0.13726258389403,0.824527876067958,2.31785080590823e-06,NaN,0.0181084798370854,0.00549997023106948,NaN,NaN
01-Jan-2008,0.000288859058266694,0.000631824834759256,0.00149833988933175,0.0031589818149414,0.0112575117639566,0.170000414898412,0.765293540923932,0,2.53010510264958e-05,0.0206353689749269,0.00596538604234299,0.016387445453862,0.00485702529424239
01-Feb-2008,0.000277416623575544,0.000909827778587467,0.00137696157699532,0.00254266684642688,0.014089794360839,0.189241369835765,0.741669562980563,0.000199962149140103,4.85247653584585e-05,0.0195578256745413,0.00604350880125068,0.0184691891500908,0.00557338945686608
01-Mar-2008,0.000346834425967463,0.00087415149445339,0.00150563766964256,0.00342448227236505,0.0143911668888883,0.238890218882773,0.677449016627751,0,0.000172612581637585,0.0256930283558044,0.00741918953764375,0.0214871053621623,0.0083465559009112
01-Apr-2008,0.000425280789428863,0.000539197101244814,0.000370215310869301,0.00302463177935723,0.0123815924696322,0.165363558665132,0.768798658387306,0,0.000102572950258007,0.0165677861661939,0.00556869499640659,0.0181629278607532,0.00869488352341865
01-May-2008,1.8040646201495e-05,0.000186575199103203,4.38649583044415e-05,0.00134811396040513,0.00769619059073657,0.144972596028062,0.812667217422054,0,0.000350386206467208,0.0123149961132955,0.00254856862639628,0.0117050816322388,0.00614836861673532
01-Jun-2008,0,4.99147104668251e-06,0.00010152295575306,0.00138201354605022,0.00653729694758918,0.092185814937497,0.871294250560705,0,0.000275273685997104,0.0107369661883545,0.0023077977250925,0.00977258724211197,0.00540148473980286
01-Jul-2008,0,4.12502321284686e-05,5.65502624231425e-05,0.000770474945832087,0.003241984854566,0.0757038439788951,0.888957209017479,0,0.000158703925072636,0.0154308171634666,0.00281404694604822,0.00840146096822878,0.00442365770586026
01-Aug-2008,0,5.50996699642738e-06,1.0987136570257e-05,0.000750678340892234,0.00690940568748924,0.0602119499909127,0.912781424160805,0,0,0.0112497072693377,0.000152398690337694,0.00531901311374696,0.00260892564291157
01-Sep-2008,6.08463675753109e-05,0.000140142924028297,0.000424108995930171,0.00123543478831038,0.00614796114249556,0.083409541909371,0.885050530822811,0,0,0.0105224714836015,0.000936518829321449,0.00862186485921987,0.00345057787733538
01-Oct-2008,0.000256835036067601,0.000552298061559769,0.000742717214300521,0.00186081954631675,0.00989247365920997,0.107396547961805,0.842776457526941,0,1.9718302769061e-05,0.012572679820594,0.000870273092213321,0.0186526859194153,0.00440649385880834
01-Nov-2008,0.000238258399287647,0.000591527221920432,0.0010992107416267,0.00241900100420956,0.0104372304059326,0.161756530783759,0.771454231949202,0,1.81469210926972e-05,0.0188116485602162,0.00442374310836184,0.0221229854055957,0.00662748549879535
01-Dec-2008,0.000307017051293505,0.000903074866397597,0.00118938742025755,0.00258689428109827,0.00952547808313402,0.189561570992735,0.737059903997281,0,4.36793887643681e-05,0.020379588183435,0.00602953085458766,0.024667253530788,0.00774662135022735
