Technology,Country,Global warming,Stratospheric ozone depletion,Ionizing radiation,"Ozone formation, Human health",Fine particulate matter formation,"Ozone formation, Terrestrial ecosystems",Terrestrial acidification,Freshwater eutrophication,Marine eutrophication,Terrestrial ecotoxicity,Freshwater ecotoxicity,Marine ecotoxicity,Human carcinogenic toxicity,Human non-carcinogenic toxicity,Land use,Mineral resource scarcity,Fossil resource scarcity,Water consumption
solar,LV,88.52818894,3.10142E-05,7.864112521,0.205499244,0.078882376,0.215514718,0.392957453,0.07230725,0.006931418,966.5844855,20.24807944,5.729587148,0.03117367,3.972341277,2.338089871,0.948755349,20.30139792,2.706882208
hydro_reservoir,LV,7.380257832,2.5843E-06,0.470091054,0.017406186,0.004732518,0.017748974,0.016033672,0.001810516,0.000107569,8.384079192,0.211352363,0.071410637,0.002461437,0.078456753,0.118529515,0.061080547,1.002438333,29.30020868
gas_chp,ES,515.5423819,0.000211415,1.608543998,0.372331405,0.019121797,0.382303361,0.20653386,0.007200478,0.000467584,22.36887671,0.553247276,0.25650638,0.008184713,0.490733095,0.33952296,0.139351151,198.9729513,-0.351528499
gas,ES,826.0938761,0.000404439,2.428759799,0.837334721,0.02821656,0.852593101,0.407395541,0.010289051,0.000674671,25.93287666,0.74307951,0.357586388,0.011651859,0.704784641,0.493097217,0.18487993,306.9081317,-0.812365831
coal,ES,1303.133965,0.00013311,8.181665672,4.746672196,0.569890186,4.75990112,9.863810274,0.585011246,0.036010267,257.8072049,19.43529944,6.692785518,0.184243116,3.738871111,10.01749023,0.235133531,274.9742557,2.122242459
oil,ES,885.069434,0.000430917,8.232346275,3.855055467,0.100253623,3.884752309,4.651888532,0.017599052,0.001813502,852.326395,1.517100681,0.970447719,0.511377421,3.25104118,1.543304887,0.178143383,278.4724613,2.37443546
hydro_runof,ES,4.431406691,8.68035E-07,0.242796962,0.01532338,0.005135698,0.015676103,0.012723863,0.001491898,7.1428E-05,6.075955191,0.181731241,0.0616965,0.001905055,0.072697337,0.178394146,0.051202688,0.804620512,0.049862667
oil_chp,ES,612.6274577,0.000298271,5.698404847,2.66839161,0.06939702,2.688947497,3.219943431,0.012184821,0.001255434,589.9826957,1.050541018,0.671870573,0.353965083,2.250484568,1.068442177,0.123390668,192.7524293,42.81032682
other_biogas,ES,345.3759723,0.00129608,7.379338814,0.651774001,0.08656705,0.66096347,9.008573776,0.402944846,0.084247227,138.3859614,36.46999029,10.67224709,0.106596896,4.925282142,44.29541411,0.455656374,32.9793508,3.529480852
windon,ES,15.72790691,4.39586E-06,0.716925846,0.040287901,0.015025919,0.042046878,0.057940004,0.01030595,0.000846045,65.06998876,5.304572781,1.365237929,0.010417375,0.60658259,1.009123511,0.293975576,3.679979641,0.152036387
biomass,ES,51.54833526,0.000277942,0.851994983,1.455807796,0.096825828,1.479241947,1.149233459,0.009160608,0.001245895,557.4018418,2.567135965,1.000964755,0.186844924,1.642983723,700.3935056,0.163566214,12.04397922,0.200681014
solar,ES,73.59055227,2.31893E-05,6.027943413,0.164814697,0.062543146,0.172797671,0.281762087,0.042576547,0.004732172,629.2077761,6.551265486,2.080097217,0.023508094,2.099755282,20.68175765,0.594799276,16.53140082,2.182276528
hydro_reservoir,ES,62.31989535,2.04531E-06,0.470092095,0.017406227,0.004732531,0.017749016,0.016033706,0.00181052,0.000107569,8.384096799,0.211352824,0.071410793,0.002461443,0.078456924,0.118529778,0.061080684,1.002440495,29.29972045
blast_furnace,ES,952.6818245,0.000104712,6.536715169,1.746081968,0.728558151,1.865743358,2.241583817,0.215494895,0.013899803,266.0505488,8.426393108,2.900462714,0.233857381,5.007450416,7.349041674,19.52254714,136.5585309,2.346414898
waste,ES,581.0043224,0.000461479,16.94660243,2.795293555,0.107590388,2.823038706,3.269128703,0.02437068,0.002678698,731.7407403,3.044742549,1.340196373,0.418295414,3.407989574,203.1938694,0.46979514,196.2906324,14.07486806
nuclear_BWR,ES,13.50463298,2.46159E-05,761.1804459,0.041578433,0.029353545,0.042344522,0.047804971,0.008875441,0.013224118,96.5970114,0.887924751,0.317406574,0.007181172,1.58989398,0.3220761,0.969745313,3.114553626,3.100562712
nuclear_PWR,ES,12.9375931,2.36091E-05,688.2467,0.039777959,0.028138199,0.040507717,0.045969533,0.008472352,0.012437596,91.84202492,0.844877075,0.302116576,0.006873444,1.499163106,0.290579616,0.91665853,2.990996338,3.07721537
solar_small,ES,71.80008565,2.51538E-05,6.378125443,0.166668498,0.063976971,0.174791471,0.318704779,0.058644229,0.005621671,783.9405526,16.42204616,4.646936594,0.025283153,3.221736162,1.896288743,0.769480418,16.46528608,2.195333623
gas_chp,BE,462.4962991,0.000201996,0.724161715,0.325818013,0.011224134,0.338520274,0.262741868,0.003310051,0.000226767,15.56864046,0.342645193,0.271385357,0.005432842,0.22034236,0.183233308,0.083745239,160.2649426,0.593762298
gas,BE,807.093036,0.000342375,1.169383013,0.803995315,0.017682422,0.825305175,0.529199194,0.004785957,0.000337054,17.95566819,0.470888196,0.420929185,0.008217877,0.320759588,0.279197749,0.112073171,270.2547692,0.846093829
coal,BE,1238.759995,0.000150879,7.637143781,2.531941237,0.272555064,2.544360922,4.957272843,0.543098736,0.033934435,193.2054132,16.58866479,5.566099989,0.166226514,3.074440582,9.244568514,0.220457061,259.6771272,2.009023731
oil,BE,933.1141823,0.00046108,8.807316906,2.558915483,0.093079563,2.590687674,6.4359364,0.018680016,0.001873786,418.5551494,1.683890652,0.833153185,0.514410369,2.984891282,1.650835602,0.190488223,297.9420737,2.44005358
hydro_runof,BE,4.43140669,8.68035E-07,0.242796962,0.01532338,0.005135698,0.015676103,0.012723863,0.001491898,7.1428E-05,6.075955191,0.181731241,0.0616965,0.001905055,0.072697337,0.178394146,0.051202688,0.804620512,0.04853547
oil_chp,BE,872.5133157,0.000431134,8.235533593,2.392734214,0.087039612,2.422443444,6.01794452,0.017471349,0.001752332,391.4037113,1.575158544,0.779257098,0.481001367,2.791301304,1.543908593,0.178237638,278.5915379,65.42121434
other_biogas,BE,345.3759723,0.00129608,7.379338814,0.651773971,0.08656705,0.66096344,9.008573911,0.402944846,0.084247227,138.3859614,36.46999029,10.67224709,0.106596896,4.925282142,44.29541411,0.455656374,32.9793508,3.529480324
windon,BE,17.06639157,4.76996E-06,0.777938038,0.043716506,0.016304672,0.045625177,0.062870855,0.011183015,0.000918046,70.60760593,5.756002972,1.481422634,0.011303919,0.658204348,1.095002676,0.318993701,3.993156101,0.165042625
biomass,BE,51.4674297,0.000277948,0.851982358,1.455781073,0.09682189,1.479214607,1.149209355,0.009160411,0.001229133,557.393928,2.559891941,0.998789643,0.18681271,1.642167021,700.3772685,0.163568532,12.04388495,0.200731271
solar,BE,90.56211577,2.85372E-05,7.418121972,0.20282457,0.076966938,0.212648598,0.346742599,0.052395653,0.005823514,774.3169468,8.062132279,2.559813615,0.028929579,2.584005388,25.4514157,0.731973055,20.34390498,2.685667049
blast_furnace,BE,952.6818841,0.000104712,6.536715169,1.746081909,0.728558151,1.8657433,2.241583796,0.215494895,0.013899803,266.0505488,8.426393108,2.900462714,0.233857381,5.007450416,7.349041674,19.52254714,136.5585309,2.346415247
waste,BE,679.2592741,0.000705604,15.54555661,2.233998246,0.109953103,2.265327846,4.769026073,0.024231687,0.002598358,496.0776406,3.012235867,1.234326961,0.563059097,3.671199952,206.0810151,0.428928998,224.9160202,20.59350071
nuclear_PWR,BE,12.9375931,2.36091E-05,688.2467,0.039777959,0.028138199,0.040507717,0.045969533,0.008472352,0.012437596,91.8420255,0.844877076,0.302116577,0.006873444,1.499163107,0.290579616,0.91665853,2.990996338,3.077214705
solar_small,BE,121.9949294,4.27387E-05,10.83701932,0.283185132,0.108702726,0.296986806,0.541508824,0.099641896,0.009551736,1331.986739,27.90256283,7.895571379,0.042958399,5.474024205,3.221968871,1.307417723,27.97602708,3.730788551
gas_chp,AT,608.9081762,0.000327246,0.658645457,0.458875216,0.015511496,0.483019695,0.472369699,0.005147747,0.000350338,20.24791877,0.492395839,0.228363034,0.007377985,0.313689668,0.250735592,0.117688442,198.4318735,0.67033663
gas,AT,1004.384889,0.000526589,1.002085755,0.998860453,0.023584955,1.037469987,0.846581693,0.007432419,0.000514932,23.88883291,0.679053442,0.328013283,0.010854721,0.450485926,0.371245279,0.15858544,318.1354351,1.022585806
coal,AT,1100.762235,0.000295657,7.253648654,1.454915455,0.089447593,1.466678594,1.705098828,0.511910183,0.033482438,102.8595195,15.73662673,5.254741142,0.156671625,2.796138704,8.759233236,0.221142139,245.3623093,1.854587379
oil,AT,1177.471889,0.000630601,11.18906428,1.608400165,0.096900953,1.646992559,2.347039131,0.023731349,0.002385193,360.8748256,2.136009123,0.977529777,0.229284065,3.58707586,2.097180097,0.241998259,378.5143263,2.767038692
hydro_runof,AT,4.431406691,8.68035E-07,0.242796962,0.01532338,0.005135698,0.015676103,0.012723863,0.001491898,7.1428E-05,6.075955191,0.181731241,0.0616965,0.001905055,0.072697337,0.178394146,0.051202688,0.804620512,0.047602173
oil_chp,AT,977.2990202,0.000523396,9.287144476,1.334987324,0.080433495,1.367019526,1.948059485,0.019702081,0.001979977,299.5619244,1.77359371,0.811589224,0.190307428,2.977565942,1.740980054,0.200994333,314.1657293,74.61805073
other_biogas,AT,345.3759723,0.00129608,7.379338814,0.651774093,0.08656705,0.660963565,9.008573982,0.402944846,0.084247227,138.3859614,36.46999029,10.67224709,0.106596896,4.925282142,44.29541411,0.455656374,32.9793508,3.52948079
windon,AT,19.09662945,5.3374E-06,0.870481963,0.048917025,0.018244296,0.051052753,0.070349977,0.012513353,0.001027257,79.0071796,6.440742474,1.657654001,0.012648642,0.736504836,1.22526504,0.356941394,4.468184727,0.184631024
biomass,AT,51.47069571,0.000277947,0.851974917,1.455779547,0.096821868,1.479213061,1.149208813,0.009160336,0.001230341,557.3909502,2.5602998,0.998909655,0.186814004,1.642197676,700.3782714,0.163567715,12.04370876,0.200730216
solar,AT,109.029346,3.43565E-05,8.930801353,0.244183999,0.092661782,0.256011317,0.417449419,0.063080009,0.00701103,932.2133451,9.706137377,3.081802993,0.034828805,3.110927671,30.64140627,0.881234863,24.49237171,3.23359538
hydro_reservoir,AT,7.38025703,2.5843E-06,0.470091054,0.017406186,0.004732518,0.017748974,0.016033672,0.001810516,0.000107569,8.384079192,0.211352363,0.071410637,0.002461437,0.078456753,0.118529515,0.061080547,1.002438333,29.30020029
waste,AT,809.8179263,0.000770456,15.86254605,1.571641647,0.108689558,1.606358191,2.028307398,0.026098756,0.00278205,447.0885502,3.151650807,1.270859612,0.354359905,3.867367648,209.2577893,0.431031302,267.2052153,23.68415323
solar_small,AT,106.3765765,3.72671E-05,9.449616561,0.24693063,0.094786082,0.258965357,0.472182681,0.086885336,0.008328882,1161.459949,24.33036232,6.884748073,0.037458675,4.773217166,2.809478809,1.140036642,24.39441721,3.253417252
gas_chp,LU,424.2501631,0.000170234,0.587604174,0.297757463,0.010776292,0.30839237,0.217089467,0.003266176,0.000216038,15.06222924,0.32593272,0.284537611,0.005099555,0.205206513,0.177242964,0.079709635,157.2497715,0.620941027
gas,LU,770.0538752,0.000308984,1.211188369,0.670603517,0.020799663,0.690058489,0.454997395,0.009189766,0.000596681,58.80649203,1.127811455,0.698169317,0.009867248,0.615070737,0.696065025,0.181758655,285.18415,0.990418394
oil,LU,876.7727559,0.000429076,8.181129801,2.868624651,0.129641373,2.898076887,5.88303154,0.017392765,0.001752054,1354.541224,1.601792643,1.240263376,0.531734294,3.759459392,1.533163041,0.176768303,276.7689592,2.328690499
hydro_runof,LU,4.43140669,8.68035E-07,0.242796962,0.01532338,0.005135698,0.015676103,0.012723863,0.001491898,7.1428E-05,6.075955191,0.181731241,0.0616965,0.001905055,0.072697337,0.17839416,0.051202688,0.804620512,0.047595786
oil_chp,LU,641.8929163,0.000319832,5.950228815,1.978691173,0.094654472,2.000057069,4.570739363,0.012681805,0.001274113,1061.126415,1.160538775,0.937207952,0.379525501,2.810622967,1.115614828,0.128758453,201.2813543,45.38733273
other_biogas,LU,345.3759733,0.00129608,7.379338814,0.651774088,0.08656705,0.660963557,9.00857404,0.402944846,0.084247227,138.3859614,36.4699903,10.67224709,0.106596896,4.925282201,44.29541411,0.455656375,32.97935236,3.529482622
windon,LU,20.47967183,5.72395E-06,0.933525558,0.052459792,0.019565604,0.054750196,0.075445025,0.013419616,0.001101654,84.72915719,6.907205438,1.777707582,0.013564706,0.789845337,1.314003326,0.382792444,4.791786995,0.198004264
biomass,LU,51.5162394,0.000277945,0.851968169,1.455788057,0.096822816,1.479221771,1.149216473,0.009161052,0.001233523,557.3941896,2.563328017,0.999839016,0.18682177,1.642537601,700.3836297,0.163566812,12.04371601,0.200710319
solar,LU,88.52818894,3.10142E-05,7.864112521,0.205499244,0.078882376,0.215514718,0.392957453,0.07230725,0.006931418,966.5844855,20.24807944,5.729587147,0.03117367,3.972341276,2.338089871,0.948755347,20.30139792,2.70688983
waste,LU,617.7185459,0.000405738,6.431537806,2.402129813,0.121418198,2.430078553,4.488270048,0.015427599,0.001659817,1133.20035,2.00334446,1.208565359,0.431236529,3.198417791,231.697946,0.189940055,193.747415,16.16706424
gas_chp,CZ,557.3556378,0.000281397,0.65350457,0.412869988,0.014200641,0.432175611,0.385302015,0.004968537,0.000335206,19.51071297,0.461861905,0.251781658,0.006912561,0.277690182,0.237736123,0.109185277,179.9664955,0.665225219
gas,CZ,871.1622198,0.000393208,0.941893137,0.726547105,0.018314557,0.7557595,0.61567597,0.006776772,0.000465254,21.6101156,0.598067312,0.346715627,0.009584794,0.372573887,0.332216324,0.13763988,273.2288073,1.113652351
coal,CZ,1365.494331,0.000116008,9.125400893,2.825679477,0.134841499,2.840541641,2.499633334,0.656622117,0.04179677,126.0364722,21.58359929,7.354759333,0.20446481,3.864171699,11.25876455,0.259672468,309.6447775,2.304947079
oil,CZ,1087.951227,0.000530984,10.1433101,3.021517585,0.137203757,3.058109968,5.13924383,0.021518415,0.00219459,1252.382204,1.985981627,1.335699671,0.646607384,4.224018072,1.901260984,0.21936291,343.1404696,2.937082243
hydro_runof,CZ,4.43140669,8.68035E-07,0.242796962,0.01532338,0.005135698,0.015676103,0.012723863,0.001491898,7.1428E-05,6.075955191,0.181731241,0.0616965,0.001905055,0.072697337,0.178394132,0.051202688,0.804620512,0.047022255
oil_chp,CZ,1555.756534,0.0007593,14.50478917,4.320724165,0.196199489,4.373050747,7.349043153,0.030771029,0.003138233,1790.889452,2.839925607,1.910031935,0.924640694,6.040288178,2.718776893,0.313685854,490.6861118,121.4727026
